,Set Score,Game Score,Serving?,Point Score,% Win,Number of Instances,Points Elapsed,Y
0,0-0,0-0,Serving,0-15,0.448773448773,10395,1,-1
1,0-0,0-0,Returning,15-0,0.551226551227,10395,1,1
2,0-0,0-0,Serving,0-30,0.39394655947,4229,2,-2
3,0-0,0-0,Returning,30-0,0.60605344053,4229,2,2
4,0-0,0-0,Serving,0-40,0.328341652801,1803,3,-3
5,0-0,0-0,Returning,40-0,0.671658347199,1803,3,3
6,0-0,0-0,Serving,15-0,0.531829519575,18442,1,1
7,0-0,0-0,Returning,0-15,0.468170480425,18442,1,-1
8,0-0,0-0,Serving,15-15,0.487052730697,12744,2,0
9,0-0,0-0,Returning,15-15,0.512947269303,12744,2,0
10,0-0,0-0,Serving,15-30,0.436659192825,7136,3,-1
11,0-0,0-0,Returning,30-15,0.563340807175,7136,3,1
12,0-0,0-0,Serving,15-40,0.367789089011,3831,4,-2
13,0-0,0-0,Returning,40-15,0.632210910989,3831,4,2
14,0-0,0-0,Serving,30-0,0.556239460371,11860,2,2
15,0-0,0-0,Returning,0-30,0.443760539629,11860,2,-2
16,0-0,0-0,Serving,30-15,0.516188251001,11984,3,1
17,0-0,0-0,Returning,15-30,0.483811748999,11984,3,-1
18,0-0,0-0,Serving,30-30,0.465842033591,8812,4,0
19,0-0,0-0,Returning,30-30,0.534157966409,8812,4,0
20,0-0,0-0,Serving,30-40,0.40209852392,5623,5,-1
21,0-0,0-0,Returning,40-30,0.59790147608,5623,5,1
22,0-0,0-0,Serving,40-0,0.578134885487,7903,3,3
23,0-0,0-0,Returning,0-40,0.421865114513,7903,3,-3
24,0-0,0-0,Serving,40-15,0.547656403216,10198,4,2
25,0-0,0-0,Returning,15-40,0.452343596784,10198,4,-2
26,0-0,0-0,Serving,40-30,0.507631492259,9107,5,1
27,0-0,0-0,Returning,30-40,0.492368507741,9107,5,-1
28,0-0,0-0,Serving,40-40,0.448815736652,12455,6,0
29,0-0,0-0,Returning,40-40,0.551184263348,12455,6,0
30,0-0,0-0,Serving,40-AD,0.385160483535,4798,7,-1
31,0-0,0-0,Returning,AD-40,0.614839516465,4798,7,1
32,0-0,0-0,Serving,AD-40,0.488822068244,7649,7,1
33,0-0,0-0,Returning,40-AD,0.511177931756,7649,7,-1
34,0-0,0-0,Serving,Start of Game,0.504634598497,30747,0,0
35,0-0,0-0,Returning,Start of Game,0.495365401503,30747,0,0
36,0-0,0-1,Serving,0-15,0.39495209161,8558,1,-1
37,0-0,1-0,Returning,15-0,0.60504790839,8558,1,1
38,0-0,0-1,Serving,0-30,0.344022503516,3555,2,-2
39,0-0,1-0,Returning,30-0,0.655977496484,3555,2,2
40,0-0,0-1,Serving,0-40,0.303051317614,1442,3,-3
41,0-0,1-0,Returning,40-0,0.696948682386,1442,3,3
42,0-0,0-1,Serving,15-0,0.472120858269,13702,1,1
43,0-0,1-0,Returning,0-15,0.527879141731,13702,1,-1
44,0-0,0-1,Serving,15-15,0.427501970055,10152,2,0
45,0-0,1-0,Returning,15-15,0.572498029945,10152,2,0
46,0-0,0-1,Serving,15-30,0.374833110814,5992,3,-1
47,0-0,1-0,Returning,30-15,0.625166889186,5992,3,1
48,0-0,0-1,Serving,15-40,0.312341772152,3160,4,-2
49,0-0,1-0,Returning,40-15,0.687658227848,3160,4,2
50,0-0,0-1,Serving,30-0,0.501110721384,8553,2,2
51,0-0,1-0,Returning,0-30,0.498889278616,8553,2,-2
52,0-0,0-1,Serving,30-15,0.460158712904,9199,3,1
53,0-0,1-0,Returning,15-30,0.539841287096,9199,3,-1
54,0-0,0-1,Serving,30-30,0.41426747979,7051,4,0
55,0-0,1-0,Returning,30-30,0.58573252021,7051,4,0
56,0-0,0-1,Serving,30-40,0.352048558422,4613,5,-1
57,0-0,1-0,Returning,40-30,0.647951441578,4613,5,1
58,0-0,0-1,Serving,40-0,0.521329541415,5626,3,3
59,0-0,1-0,Returning,0-40,0.478670458585,5626,3,-3
60,0-0,0-1,Serving,40-15,0.495381813451,7687,4,2
61,0-0,1-0,Returning,15-40,0.504618186549,7687,4,-2
62,0-0,0-1,Serving,40-30,0.452771493213,7072,5,1
63,0-0,1-0,Returning,30-40,0.547228506787,7072,5,-1
64,0-0,0-1,Serving,40-40,0.393198941153,9822,6,0
65,0-0,1-0,Returning,40-40,0.606801058847,9822,6,0
66,0-0,0-1,Serving,40-AD,0.328492210193,3787,7,-1
67,0-0,1-0,Returning,AD-40,0.671507789807,3787,7,1
68,0-0,0-1,Serving,AD-40,0.433802816901,6035,7,1
69,0-0,1-0,Returning,40-AD,0.566197183099,6035,7,-1
70,0-0,0-1,Serving,Start of Game,0.442432954494,22261,0,0
71,0-0,1-0,Returning,Start of Game,0.557567045506,22261,0,0
72,0-0,0-2,Serving,0-15,0.213130352046,2102,1,-1
73,0-0,2-0,Returning,15-0,0.786869647954,2102,1,1
74,0-0,0-2,Serving,0-30,0.18373812038,947,2,-2
75,0-0,2-0,Returning,30-0,0.81626187962,947,2,2
76,0-0,0-2,Serving,0-40,0.13734939759,415,3,-3
77,0-0,2-0,Returning,40-0,0.86265060241,415,3,3
78,0-0,0-2,Serving,15-0,0.28370221328,2982,1,1
79,0-0,2-0,Returning,0-15,0.71629778672,2982,1,-1
80,0-0,0-2,Serving,15-15,0.243975903614,2324,2,0
81,0-0,2-0,Returning,15-15,0.756024096386,2324,2,0
82,0-0,0-2,Serving,15-30,0.216577540107,1496,3,-1
83,0-0,2-0,Returning,30-15,0.783422459893,1496,3,1
84,0-0,0-2,Serving,15-40,0.164285714286,840,4,-2
85,0-0,2-0,Returning,40-15,0.835714285714,840,4,2
86,0-0,0-2,Serving,30-0,0.305019305019,1813,2,2
87,0-0,2-0,Returning,0-30,0.694980694981,1813,2,-2
88,0-0,0-2,Serving,30-15,0.264849074976,2054,3,1
89,0-0,2-0,Returning,15-30,0.735150925024,2054,3,-1
90,0-0,0-2,Serving,30-30,0.235574063058,1681,4,0
91,0-0,2-0,Returning,30-30,0.764425936942,1681,4,0
92,0-0,0-2,Serving,30-40,0.205583756345,1182,5,-1
93,0-0,2-0,Returning,40-30,0.794416243655,1182,5,1
94,0-0,0-2,Serving,40-0,0.329758713137,1119,3,3
95,0-0,2-0,Returning,0-40,0.670241286863,1119,3,-3
96,0-0,0-2,Serving,40-15,0.300661455201,1663,4,2
97,0-0,2-0,Returning,15-40,0.699338544799,1663,4,-2
98,0-0,0-2,Serving,40-30,0.260410192666,1609,5,1
99,0-0,2-0,Returning,30-40,0.739589807334,1609,5,-1
100,0-0,0-2,Serving,40-40,0.237439222042,2468,6,0
101,0-0,2-0,Returning,40-40,0.762560777958,2468,6,0
102,0-0,0-2,Serving,40-AD,0.200761179829,1051,7,-1
103,0-0,2-0,Returning,AD-40,0.799238820171,1051,7,1
104,0-0,0-2,Serving,AD-40,0.264643613267,1417,7,1
105,0-0,2-0,Returning,40-AD,0.735356386733,1417,7,-1
106,0-0,0-2,Serving,Start of Game,0.254523996853,5084,0,0
107,0-0,2-0,Returning,Start of Game,0.745476003147,5084,0,0
108,0-0,0-3,Serving,0-15,0.187836383208,1858,1,-1
109,0-0,3-0,Returning,15-0,0.812163616792,1858,1,1
110,0-0,0-3,Serving,0-30,0.175914994097,847,2,-2
111,0-0,3-0,Returning,30-0,0.824085005903,847,2,2
112,0-0,0-3,Serving,0-40,0.146634615385,416,3,-3
113,0-0,3-0,Returning,40-0,0.853365384615,416,3,3
114,0-0,0-3,Serving,15-0,0.237767893247,2473,1,1
115,0-0,3-0,Returning,0-15,0.762232106753,2473,1,-1
116,0-0,0-3,Serving,15-15,0.207509881423,2024,2,0
117,0-0,3-0,Returning,15-15,0.792490118577,2024,2,0
118,0-0,0-3,Serving,15-30,0.174796747967,1230,3,-1
119,0-0,3-0,Returning,30-15,0.825203252033,1230,3,1
120,0-0,0-3,Serving,15-40,0.151554404145,772,4,-2
121,0-0,3-0,Returning,40-15,0.848445595855,772,4,2
122,0-0,0-3,Serving,30-0,0.252054794521,1460,2,2
123,0-0,3-0,Returning,0-30,0.747945205479,1460,2,-2
124,0-0,0-3,Serving,30-15,0.227970437749,1759,3,1
125,0-0,3-0,Returning,15-30,0.772029562251,1759,3,-1
126,0-0,0-3,Serving,30-30,0.201137171286,1407,4,0
127,0-0,3-0,Returning,30-30,0.798862828714,1407,4,0
128,0-0,0-3,Serving,30-40,0.182524271845,1030,5,-1
129,0-0,3-0,Returning,40-30,0.817475728155,1030,5,1
130,0-0,0-3,Serving,40-0,0.280777537797,926,3,3
131,0-0,3-0,Returning,0-40,0.719222462203,926,3,-3
132,0-0,0-3,Serving,40-15,0.239583333333,1344,4,2
133,0-0,3-0,Returning,15-40,0.760416666667,1344,4,-2
134,0-0,0-3,Serving,40-30,0.222140762463,1364,5,1
135,0-0,3-0,Returning,30-40,0.777859237537,1364,5,-1
136,0-0,0-3,Serving,40-40,0.197094430993,2065,6,0
137,0-0,3-0,Returning,40-40,0.802905569007,2065,6,0
138,0-0,0-3,Serving,40-AD,0.161036036036,888,7,-1
139,0-0,3-0,Returning,AD-40,0.838963963964,888,7,1
140,0-0,0-3,Serving,AD-40,0.224489795918,1176,7,1
141,0-0,3-0,Returning,40-AD,0.775510204082,1176,7,-1
