,Set Score,Game Score,Serving at Start of Game?,Point Score,% Win,Number of Instances,Points Elapsed,Y,Stdev
0,0-0,0-0,Serving,0-15,0.493220338983,590,1,-1,0.020582781853
1,0-0,0-0,Returning,15-0,0.506779661017,590,1,1,0.020582781853
2,0-0,0-0,Serving,0-30,0.42731277533,227,2,-2,0.0328336192384
3,0-0,0-0,Returning,30-0,0.57268722467,227,2,2,0.0328336192384
4,0-0,0-0,Serving,0-40,0.365853658537,82,3,-3,0.0531914121842
5,0-0,0-0,Returning,40-0,0.634146341463,82,3,3,0.0531914121842
6,0-0,0-0,Serving,15-0,0.570826306914,1186,1,1,0.0143722972897
7,0-0,0-0,Returning,0-15,0.429173693086,1186,1,-1,0.0143722972897
8,0-0,0-0,Serving,15-15,0.516688918558,749,2,0,0.0182594226456
9,0-0,0-0,Returning,15-15,0.483311081442,749,2,0,0.0182594226456
10,0-0,0-0,Serving,15-30,0.459798994975,398,3,-1,0.0249815951949
11,0-0,0-0,Returning,30-15,0.540201005025,398,3,1,0.0249815951949
12,0-0,0-0,Serving,15-40,0.457894736842,190,4,-2,0.0361449673875
13,0-0,0-0,Returning,40-15,0.542105263158,190,4,2,0.0361449673875
14,0-0,0-0,Serving,30-0,0.605,800,2,2,0.0172834819987
15,0-0,0-0,Returning,0-30,0.395,800,2,-2,0.0172834819987
16,0-0,0-0,Serving,30-15,0.555405405405,740,3,1,0.018267170414
17,0-0,0-0,Returning,15-30,0.444594594595,740,3,-1,0.018267170414
18,0-0,0-0,Serving,30-30,0.499051233397,527,4,0,0.0217803028819
19,0-0,0-0,Returning,30-30,0.500948766603,527,4,0,0.0217803028819
20,0-0,0-0,Serving,30-40,0.476047904192,334,5,-1,0.0273273731024
21,0-0,0-0,Returning,40-30,0.523952095808,334,5,1,0.0273273731024
22,0-0,0-0,Serving,40-0,0.618705035971,556,3,3,0.0205984700502
23,0-0,0-0,Returning,0-40,0.381294964029,556,3,-3,0.0205984700502
24,0-0,0-0,Serving,40-15,0.567026194145,649,4,2,0.0194495708913
25,0-0,0-0,Returning,15-40,0.432973805855,649,4,-2,0.0194495708913
26,0-0,0-0,Serving,40-30,0.539499036609,519,5,1,0.0218789728507
27,0-0,0-0,Returning,30-40,0.460500963391,519,5,-1,0.0218789728507
28,0-0,0-0,Serving,40-40,0.493580599144,701,6,0,0.0188831828695
29,0-0,0-0,Returning,40-40,0.506419400856,701,6,0,0.0188831828695
30,0-0,0-0,Serving,40-AD,0.406593406593,273,7,-1,0.0297286389165
31,0-0,0-0,Returning,AD-40,0.593406593407,273,7,1,0.0297286389165
32,0-0,0-0,Serving,AD-40,0.549065420561,428,7,1,0.0240517639057
33,0-0,0-0,Returning,40-AD,0.450934579439,428,7,-1,0.0240517639057
34,0-0,0-0,Serving,Start of Game,0.545045045045,1776,0,0,0.0118162294846
35,0-0,0-0,Returning,Start of Game,0.454954954955,1776,0,0,0.0118162294846
36,0-0,0-1,Serving,0-15,0.360443622921,541,1,-1,0.0206423652093
37,0-0,1-0,Returning,15-0,0.639556377079,541,1,1,0.0206423652093
38,0-0,0-1,Serving,0-30,0.27,200,2,-2,0.0313926743047
39,0-0,1-0,Returning,30-0,0.73,200,2,2,0.0313926743047
40,0-0,0-1,Serving,0-40,0.228260869565,92,3,-3,0.0437579613862
41,0-0,1-0,Returning,40-0,0.771739130435,92,3,3,0.0437579613862
42,0-0,0-1,Serving,15-0,0.437980241493,911,1,1,0.0164378064656
43,0-0,1-0,Returning,0-15,0.562019758507,911,1,-1,0.0164378064656
44,0-0,0-1,Serving,15-15,0.400602409639,664,2,0,0.019016484567
45,0-0,1-0,Returning,15-15,0.599397590361,664,2,0,0.019016484567
46,0-0,0-1,Serving,15-30,0.367521367521,351,3,-1,0.0257341997516
47,0-0,1-0,Returning,30-15,0.632478632479,351,3,1,0.0257341997516
48,0-0,0-1,Serving,15-40,0.28,175,4,-2,0.033941125497
49,0-0,1-0,Returning,40-15,0.72,175,4,2,0.033941125497
50,0-0,0-1,Serving,30-0,0.465986394558,588,2,2,0.0205718863476
51,0-0,1-0,Returning,0-30,0.534013605442,588,2,-2,0.0205718863476
52,0-0,0-1,Serving,30-15,0.412828947368,608,3,1,0.0199671279027
53,0-0,1-0,Returning,15-30,0.587171052632,608,3,-1,0.0199671279027
54,0-0,0-1,Serving,30-30,0.371681415929,452,4,0,0.0227303518666
55,0-0,1-0,Returning,30-30,0.628318584071,452,4,0,0.0227303518666
56,0-0,0-1,Serving,30-40,0.31884057971,276,5,-1,0.0280515354174
57,0-0,1-0,Returning,40-30,0.68115942029,276,5,1,0.0280515354174
58,0-0,0-1,Serving,40-0,0.481296758105,401,3,3,0.0249513336163
59,0-0,1-0,Returning,0-40,0.518703241895,401,3,-3,0.0249513336163
60,0-0,0-1,Serving,40-15,0.461232604374,503,4,2,0.0222267855995
61,0-0,1-0,Returning,15-40,0.538767395626,503,4,-2,0.0222267855995
62,0-0,0-1,Serving,40-30,0.420382165605,471,5,1,0.0227448228143
63,0-0,1-0,Returning,30-40,0.579617834395,471,5,-1,0.0227448228143
64,0-0,0-1,Serving,40-40,0.382059800664,602,6,0,0.0198034406463
65,0-0,1-0,Returning,40-40,0.617940199336,602,6,0,0.0198034406463
66,0-0,0-1,Serving,40-AD,0.297777777778,225,7,-1,0.0304854189437
67,0-0,1-0,Returning,AD-40,0.702222222222,225,7,1,0.0304854189437
68,0-0,0-1,Serving,AD-40,0.432360742706,377,7,1,0.0255145940904
69,0-0,1-0,Returning,40-AD,0.567639257294,377,7,-1,0.0255145940904
70,0-0,0-1,Serving,Start of Game,0.409090909091,1452,0,0,0.0129028884264
71,0-0,1-0,Returning,Start of Game,0.590909090909,1452,0,0,0.0129028884264
72,0-0,0-2,Serving,0-15,0.220183486239,109,1,-1,0.039689473407
73,0-0,2-0,Returning,15-0,0.779816513761,109,1,1,0.039689473407
74,0-0,0-2,Serving,0-30,0.163265306122,49,2,-2,0.0528010795227
75,0-0,2-0,Returning,30-0,0.836734693878,49,2,2,0.0528010795227
76,0-0,0-2,Serving,0-40,0.25,20,3,-3,0.0968245836552
77,0-0,2-0,Returning,40-0,0.75,20,3,3,0.0968245836552
78,0-0,0-2,Serving,15-0,0.346405228758,153,1,1,0.0384681046259
79,0-0,2-0,Returning,0-15,0.653594771242,153,1,-1,0.0384681046259
80,0-0,0-2,Serving,15-15,0.263157894737,114,2,0,0.041242311051
81,0-0,2-0,Returning,15-15,0.736842105263,114,2,0,0.041242311051
82,0-0,0-2,Serving,15-30,0.194805194805,77,3,-1,0.0451341623259
83,0-0,2-0,Returning,30-15,0.805194805195,77,3,1,0.0451341623259
84,0-0,0-2,Serving,15-40,0.205882352941,34,4,-2,0.0693445807053
85,0-0,2-0,Returning,40-15,0.794117647059,34,4,2,0.0693445807053
86,0-0,0-2,Serving,30-0,0.393939393939,99,2,2,0.0491083267479
87,0-0,2-0,Returning,0-30,0.606060606061,99,2,-2,0.0491083267479
88,0-0,0-2,Serving,30-15,0.313131313131,99,3,1,0.0466103658073
89,0-0,2-0,Returning,15-30,0.686868686869,99,3,-1,0.0466103658073
90,0-0,0-2,Serving,30-30,0.232558139535,86,4,0,0.0455553396241
91,0-0,2-0,Returning,30-30,0.767441860465,86,4,0,0.0455553396241
92,0-0,0-2,Serving,30-40,0.132075471698,53,5,-1,0.0465065508621
93,0-0,2-0,Returning,40-30,0.867924528302,53,5,1,0.0465065508621
94,0-0,0-2,Serving,40-0,0.393939393939,66,3,3,0.0601451713271
95,0-0,2-0,Returning,0-40,0.606060606061,66,3,-3,0.0601451713271
96,0-0,0-2,Serving,40-15,0.349397590361,83,4,2,0.0523333746182
97,0-0,2-0,Returning,15-40,0.650602409639,83,4,-2,0.0523333746182
98,0-0,0-2,Serving,40-30,0.301075268817,93,5,1,0.0475676034288
99,0-0,2-0,Returning,30-40,0.698924731183,93,5,-1,0.0475676034288
100,0-0,0-2,Serving,40-40,0.254098360656,122,6,0,0.0394150241563
101,0-0,2-0,Returning,40-40,0.745901639344,122,6,0,0.0394150241563
102,0-0,0-2,Serving,40-AD,0.181818181818,55,7,-1,0.0520070503225
103,0-0,2-0,Returning,AD-40,0.818181818182,55,7,1,0.0520070503225
104,0-0,0-2,Serving,AD-40,0.313432835821,67,7,1,0.0566730204113
105,0-0,2-0,Returning,40-AD,0.686567164179,67,7,-1,0.0566730204113
106,0-0,0-2,Serving,Start of Game,0.293893129771,262,0,0,0.028143576684
107,0-0,2-0,Returning,Start of Game,0.706106870229,262,0,0,0.028143576684
108,0-0,0-3,Serving,0-15,0.186440677966,118,1,-1,0.0358528716158
109,0-0,3-0,Returning,15-0,0.813559322034,118,1,1,0.0358528716158
110,0-0,0-3,Serving,0-30,0.183673469388,49,2,-2,0.055316810382
111,0-0,3-0,Returning,30-0,0.816326530612,49,2,2,0.055316810382
112,0-0,0-3,Serving,0-40,0.142857142857,14,3,-3,0.0935219529583
113,0-0,3-0,Returning,40-0,0.857142857143,14,3,3,0.0935219529583
114,0-0,0-3,Serving,15-0,0.226666666667,150,1,1,0.0341846835965
115,0-0,3-0,Returning,0-15,0.773333333333,150,1,-1,0.0341846835965
116,0-0,0-3,Serving,15-15,0.210526315789,133,2,0,0.0353505523294
117,0-0,3-0,Returning,15-15,0.789473684211,133,2,0,0.0353505523294
118,0-0,0-3,Serving,15-30,0.232558139535,86,3,-1,0.0455553396241
119,0-0,3-0,Returning,30-15,0.767441860465,86,3,1,0.0455553396241
120,0-0,0-3,Serving,15-40,0.209302325581,43,4,-2,0.0620380344867
121,0-0,3-0,Returning,40-15,0.790697674419,43,4,2,0.0620380344867
122,0-0,0-3,Serving,30-0,0.220930232558,86,2,2,0.0447369657385
123,0-0,3-0,Returning,0-30,0.779069767442,86,2,-2,0.0447369657385
124,0-0,0-3,Serving,30-15,0.207207207207,111,3,1,0.0384698759519
125,0-0,3-0,Returning,15-30,0.792792792793,111,3,-1,0.0384698759519
126,0-0,0-3,Serving,30-30,0.201923076923,104,4,0,0.0393639511884
127,0-0,3-0,Returning,30-30,0.798076923077,104,4,0,0.0393639511884
128,0-0,0-3,Serving,30-40,0.177419354839,62,5,-1,0.0485169952543
129,0-0,3-0,Returning,40-30,0.822580645161,62,5,1,0.0485169952543
130,0-0,0-3,Serving,40-0,0.19298245614,57,3,3,0.0522712607231
131,0-0,3-0,Returning,0-40,0.80701754386,57,3,-3,0.0522712607231
